"aeropuerto",1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"   Nacionales",,,82,30,32,310,14290,1425,463,349,319,585,908,973,906,695,375,538,686,755,665,708,784,656,515,515,831,654,609,686,818,1125,10219,10353
"   Internacionales",,,0,0,0,56,645,0,0,23,0,70,309,190,19,11,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,69,48,53
"   Regulares",361,361,82,30,32,366,13613,1425,459,369,319,655,1217,1156,916,701,375,535,684,749,662,708,782,656,514,515,829,654,609,686,818,1113,10267,10406
"          Nacionales Regulares",361,361,82,30,32,310,12968,1425,459,349,319,585,908,966,900,690,375,535,684,749,662,708,782,656,514,515,829,654,609,686,818,1113,10219,10353
"          Internacionales Regulares",0,0,0,0,0,56,645,0,0,20,0,70,309,190,16,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,53
"   Charters",0,1,0,0,0,0,1322,0,4,3,0,0,0,7,9,5,0,3,2,11,5,0,2,0,1,0,2,0,0,0,0,81,0,0
"         Charters Nacionales",0,0,0,0,0,0,1322,0,4,0,0,0,0,7,6,5,0,3,2,6,3,0,2,0,1,0,2,0,0,0,0,12,0,0
"         Charters Internacionales",0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,69,0,0
"Chihuahua, Chih.",3116,3174,2195,2647,3606,4284,185034,6593,9390,11929,11107,11220,11428,10647,10447,10428,11155,10772,10697,10707,10034,10540,9622,8030,8413,6937,7448,7274,7899,7914,9405,8496,1202,1335
"   Nacionales",,,1928,2631,3122,3646,170216,5730,7905,8954,8842,9004,9291,9022,8996,8786,9811,9667,9798,9433,8937,9103,8105,6862,7326,5865,6306,6210,6820,6817,8313,7376,1202,1335
"   Internacionales",,,267,16,484,638,14818,863,1485,2975,2265,2216,2137,1625,1451,1642,1344,1105,899,1274,1097,1437,1517,1168,1087,1072,1142,1064,1079,1097,1092,1120,0,0
"   Regulares",3116,3174,1939,2630,3492,4280,184866,6587,9269,11783,11063,11182,11242,10555,10090,10338,10972,10679,10600,10603,9714,10377,9557,7804,8262,6722,7444,7268,7899,7914,9405,8494,1197,1332
"          Nacionales Regulares",3111,3084,1927,2630,3011,3642,170054,5730,7792,8937,8798,8966,9205,8930,8639,8696,9628,9574,9702,9329,8617,8940,8050,6638,7186,5666,6302,6204,6820,6817,8313,7374,1197,1332
"          Internacionales Regulares",5,90,12,0,481,638,14812,857,1477,2846,2265,2216,2037,1625,1451,1642,1344,1105,898,1274,1097,1437,1507,1166,1076,1056,1142,1064,1079,1097,1092,1120,0,0
"   Charters",0,0,256,17,114,4,168,6,121,146,44,38,186,92,357,90,183,93,97,104,320,163,65,226,151,215,4,6,0,0,0,2,5,3
"         Charters Nacionales",0,0,1,1,111,4,162,0,113,17,44,38,86,92,357,90,183,93,96,104,320,163,55,224,140,199,4,6,0,0,0,2,5,3
"         Charters Internacionales",0,0,255,16,3,0,6,6,8,129,0,0,100,0,0,0,0,0,1,0,0,0,10,2,11,16,0,0,0,0,0,0,0,0
"Distrito Federal",55965,54173,47192,54351,61199,68713,7483409,107744,132558,113832,110296,114283,128093,131989,136124,137179,143567,144353,146353,147146,157558,169160,164950,156589,150767,153849,168356,172965,181829,190249,199220,201602,9811,10110
"   Nacionales",,,32254,36503,39478,46862,5596849,77568,98078,84888,80274,82152,91969,96254,99153,103196,108090,108076,109356,109392,117633,126782,123441,119223,113636,115346,125594,127290,133923,137534,142697,138444,8664,8717
"   Internacionales",,,14938,17848,21721,21851,1886560,30176,34480,28944,30022,32131,36124,35735,36971,33983,35477,36277,36997,37754,39925,42378,41509,37366,37131,38503,42762,45675,47906,52715,56523,63158,1147,1393
